scenarioId,seed,side,score,kills,missilesFired,denials,fingerprint
gauntlet-t2-escort-a,42,BLUE,100,1,4,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected AgentDecision|4|1|1|a1|Engage|Engage:1:High|0.796304 Engagement|5|1|1|u1|1|True|Launched MagazineChange|6|1|1|u1|0|-1|fire EngagementOutcome|7|1|1|1|hostile-1|Kill|0.006502 ContactChange|8|1|1|u1|c1|hostile-1|Detected|Lost AgentDecision|9|2|2|a1|Engage|Engage:1:High|0.235134 Engagement|10|2|2|u1|0|False|TARGET_DESTROYED ContactChange|11|3|3|u1|c2|hostile-far|Unknown|Detected AgentDecision|12|3|3|a1|Engage|Engage:1:High|0.974989 Engagement|13|3|3|u1|2|True|Launched MagazineChange|14|3|3|u1|0|-1|fire EngagementOutcome|15|3|3|2|hostile-far|Hit|0.039947 AgentDecision|16|4|4|a1|Engage|Engage:1:High|0.207748 Engagement|17|4|4|u1|3|True|Launched MagazineChange|18|4|4|u1|0|-1|fire EngagementOutcome|19|4|4|3|hostile-far|Miss|0.992413 AgentDecision|20|5|5|a1|Engage|Engage:1:High|2.702277 Engagement|21|5|5|u1|4|True|Launched MagazineChange|22|5|5|u1|0|-1|fire EngagementOutcome|23|5|5|4|hostile-far|Hit|0.523538 AgentDecision|24|6|6|a1|Engage|Engage:1:High|0.654472 Engagement|25|6|6|u1|0|False|NO_AMMO AgentDecision|26|7|7|a1|Engage|Engage:1:High|1.907496 Engagement|27|7|7|u1|0|False|NO_AMMO AgentDecision|28|8|8|a1|Engage|Engage:1:High|0.416218 Engagement|29|8|8|u1|0|False|NO_AMMO AgentDecision|30|9|9|a1|Engage|Engage:1:High|0.833327 Engagement|31|9|9|u1|0|False|NO_AMMO AgentDecision|32|10|10|a1|Engage|Engage:1:High|3.482867 Engagement|33|10|10|u1|0|False|NO_AMMO 
gauntlet-t2-escort-a,7,BLUE,100,1,4,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected ContactChange|4|1|1|u1|c2|hostile-far|Unknown|Detected AgentDecision|5|1|1|a1|Engage|Engage:1:High|3.133131 Engagement|6|1|1|u1|1|True|Launched MagazineChange|7|1|1|u1|0|-1|fire EngagementOutcome|8|1|1|1|hostile-1|Hit|0.826851 AgentDecision|9|2|2|a1|Engage|Engage:1:High|0.249756 Engagement|10|2|2|u1|2|True|Launched MagazineChange|11|2|2|u1|0|-1|fire EngagementOutcome|12|2|2|2|hostile-1|Hit|0.812971 AgentDecision|13|3|3|a1|Engage|Engage:1:High|0.031829 Engagement|14|3|3|u1|3|True|Launched MagazineChange|15|3|3|u1|0|-1|fire EngagementOutcome|16|3|3|3|hostile-1|Kill|0.145241 ContactChange|17|3|3|u1|c1|hostile-1|Detected|Lost AgentDecision|18|4|4|a1|Engage|Engage:1:High|0.942103 Engagement|19|4|4|u1|4|True|Launched MagazineChange|20|4|4|u1|0|-1|fire EngagementOutcome|21|4|4|4|hostile-far|Hit|0.207109 AgentDecision|22|5|5|a1|Engage|Engage:1:High|1.833898 Engagement|23|5|5|u1|0|False|NO_AMMO AgentDecision|24|6|6|a1|Engage|Engage:1:High|1.321819 Engagement|25|6|6|u1|0|False|NO_AMMO AgentDecision|26|7|7|a1|Engage|Engage:1:High|1.280645 Engagement|27|7|7|u1|0|False|NO_AMMO AgentDecision|28|8|8|a1|Engage|Engage:1:High|1.770816 Engagement|29|8|8|u1|0|False|NO_AMMO AgentDecision|30|9|9|a1|Engage|Engage:1:High|1.447085 Engagement|31|9|9|u1|0|False|NO_AMMO AgentDecision|32|10|10|a1|Engage|Engage:1:High|2.085533 Engagement|33|10|10|u1|0|False|NO_AMMO 
gauntlet-t2-escort-a,123,BLUE,100,1,4,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected ContactChange|4|1|1|u1|c2|hostile-far|Unknown|Detected AgentDecision|5|1|1|a1|Engage|Engage:1:High|0.24987 Engagement|6|1|1|u1|1|True|Launched MagazineChange|7|1|1|u1|0|-1|fire EngagementOutcome|8|1|1|1|hostile-1|Kill|0.800307 ContactChange|9|1|1|u1|c1|hostile-1|Detected|Lost AgentDecision|10|2|2|a1|Engage|Engage:1:High|0.279434 Engagement|11|2|2|u1|2|True|Launched MagazineChange|12|2|2|u1|0|-1|fire EngagementOutcome|13|2|2|2|hostile-far|Hit|0.023404 AgentDecision|14|3|3|a1|Engage|Engage:1:High|1.743799 Engagement|15|3|3|u1|3|True|Launched MagazineChange|16|3|3|u1|0|-1|fire EngagementOutcome|17|3|3|3|hostile-far|Hit|0.73969 AgentDecision|18|4|4|a1|Engage|Engage:1:High|2.170743 Engagement|19|4|4|u1|4|True|Launched MagazineChange|20|4|4|u1|0|-1|fire EngagementOutcome|21|4|4|4|hostile-far|Hit|0.447973 AgentDecision|22|5|5|a1|Engage|Engage:1:High|0.838746 Engagement|23|5|5|u1|0|False|NO_AMMO AgentDecision|24|6|6|a1|Engage|Engage:1:High|3.017865 Engagement|25|6|6|u1|0|False|NO_AMMO AgentDecision|26|7|7|a1|Engage|Engage:1:High|1.450727 Engagement|27|7|7|u1|0|False|NO_AMMO AgentDecision|28|8|8|a1|Engage|Engage:1:High|0.844181 Engagement|29|8|8|u1|0|False|NO_AMMO AgentDecision|30|9|9|a1|Engage|Engage:1:High|0.933726 Engagement|31|9|9|u1|0|False|NO_AMMO AgentDecision|32|10|10|a1|Engage|Engage:1:High|0.162586 Engagement|33|10|10|u1|0|False|NO_AMMO 
gauntlet-t2-escort-passive,42,BLUE,-50,0,0,10,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsTight ModeChange|2|0|0||Planning|Executing AgentDecision|3|1|1|a1|Engage|Engage:1:High|0.796304 PolicyDenial|4|1|u1|WeaponsTight|Engage Engagement|5|1|1|u1|0|False|ROE_WEAPONS_TIGHT ContactChange|6|2|2|u1|c1|hostile-1|Unknown|Detected AgentDecision|7|2|2|a1|Engage|Engage:1:High|0.235134 PolicyDenial|8|2|u1|WeaponsTight|Engage Engagement|9|2|2|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|10|3|3|a1|Engage|Engage:1:High|0.974989 PolicyDenial|11|3|u1|WeaponsTight|Engage Engagement|12|3|3|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|13|4|4|a1|Engage|Engage:1:High|0.207748 PolicyDenial|14|4|u1|WeaponsTight|Engage Engagement|15|4|4|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|16|5|5|a1|Engage|Engage:1:High|2.702277 PolicyDenial|17|5|u1|WeaponsTight|Engage Engagement|18|5|5|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|19|6|6|a1|Engage|Engage:1:High|0.654472 PolicyDenial|20|6|u1|WeaponsTight|Engage Engagement|21|6|6|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|22|7|7|a1|Engage|Engage:1:High|1.907496 PolicyDenial|23|7|u1|WeaponsTight|Engage Engagement|24|7|7|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|25|8|8|a1|Engage|Engage:1:High|0.416218 PolicyDenial|26|8|u1|WeaponsTight|Engage Engagement|27|8|8|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|28|9|9|a1|Engage|Engage:1:High|0.833327 PolicyDenial|29|9|u1|WeaponsTight|Engage Engagement|30|9|9|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|31|10|10|a1|Engage|Engage:1:High|3.482867 PolicyDenial|32|10|u1|WeaponsTight|Engage Engagement|33|10|10|u1|0|False|ROE_WEAPONS_TIGHT 
gauntlet-t2-escort-passive,7,BLUE,-50,0,0,10,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsTight ModeChange|2|0|0||Planning|Executing AgentDecision|3|1|1|a1|Engage|Engage:1:High|3.133131 PolicyDenial|4|1|u1|WeaponsTight|Engage Engagement|5|1|1|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|6|2|2|a1|Engage|Engage:1:High|0.249756 PolicyDenial|7|2|u1|WeaponsTight|Engage Engagement|8|2|2|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|9|3|3|a1|Engage|Engage:1:High|0.031829 PolicyDenial|10|3|u1|WeaponsTight|Engage Engagement|11|3|3|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|12|4|4|a1|Engage|Engage:1:High|0.942103 PolicyDenial|13|4|u1|WeaponsTight|Engage Engagement|14|4|4|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|15|5|5|a1|Engage|Engage:1:High|1.833898 PolicyDenial|16|5|u1|WeaponsTight|Engage Engagement|17|5|5|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|18|6|6|a1|Engage|Engage:1:High|1.321819 PolicyDenial|19|6|u1|WeaponsTight|Engage Engagement|20|6|6|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|21|7|7|a1|Engage|Engage:1:High|1.280645 PolicyDenial|22|7|u1|WeaponsTight|Engage Engagement|23|7|7|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|24|8|8|a1|Engage|Engage:1:High|1.770816 PolicyDenial|25|8|u1|WeaponsTight|Engage Engagement|26|8|8|u1|0|False|ROE_WEAPONS_TIGHT ContactChange|27|9|9|u1|c1|hostile-1|Unknown|Detected AgentDecision|28|9|9|a1|Engage|Engage:1:High|1.447085 PolicyDenial|29|9|u1|WeaponsTight|Engage Engagement|30|9|9|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|31|10|10|a1|Engage|Engage:1:High|2.085533 PolicyDenial|32|10|u1|WeaponsTight|Engage Engagement|33|10|10|u1|0|False|ROE_WEAPONS_TIGHT 
gauntlet-t2-escort-passive,123,BLUE,-50,0,0,10,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsTight ModeChange|2|0|0||Planning|Executing AgentDecision|3|1|1|a1|Engage|Engage:1:High|0.24987 PolicyDenial|4|1|u1|WeaponsTight|Engage Engagement|5|1|1|u1|0|False|ROE_WEAPONS_TIGHT ContactChange|6|2|2|u1|c1|hostile-1|Unknown|Detected AgentDecision|7|2|2|a1|Engage|Engage:1:High|0.279434 PolicyDenial|8|2|u1|WeaponsTight|Engage Engagement|9|2|2|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|10|3|3|a1|Engage|Engage:1:High|1.743799 PolicyDenial|11|3|u1|WeaponsTight|Engage Engagement|12|3|3|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|13|4|4|a1|Engage|Engage:1:High|2.170743 PolicyDenial|14|4|u1|WeaponsTight|Engage Engagement|15|4|4|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|16|5|5|a1|Engage|Engage:1:High|0.838746 PolicyDenial|17|5|u1|WeaponsTight|Engage Engagement|18|5|5|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|19|6|6|a1|Engage|Engage:1:High|3.017865 PolicyDenial|20|6|u1|WeaponsTight|Engage Engagement|21|6|6|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|22|7|7|a1|Engage|Engage:1:High|1.450727 PolicyDenial|23|7|u1|WeaponsTight|Engage Engagement|24|7|7|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|25|8|8|a1|Engage|Engage:1:High|0.844181 PolicyDenial|26|8|u1|WeaponsTight|Engage Engagement|27|8|8|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|28|9|9|a1|Engage|Engage:1:High|0.933726 PolicyDenial|29|9|u1|WeaponsTight|Engage Engagement|30|9|9|u1|0|False|ROE_WEAPONS_TIGHT AgentDecision|31|10|10|a1|Engage|Engage:1:High|0.162586 PolicyDenial|32|10|u1|WeaponsTight|Engage Engagement|33|10|10|u1|0|False|ROE_WEAPONS_TIGHT 
gauntlet-t2-strike-a,42,BLUE,100,1,1,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected AgentDecision|4|1|1|a1|Engage|Engage:1:High|0.796304 Engagement|5|1|1|u1|1|True|Launched MagazineChange|6|1|1|u1|0|-1|fire EngagementOutcome|7|1|1|1|hostile-1|Kill|0.006502 ContactChange|8|1|1|u1|c1|hostile-1|Detected|Lost AgentDecision|9|2|2|a1|Engage|Engage:1:High|0.235134 Engagement|10|2|2|u1|0|False|TARGET_DESTROYED AgentDecision|11|3|3|a1|Engage|Engage:1:High|0.974989 Engagement|12|3|3|u1|0|False|TARGET_DESTROYED AgentDecision|13|4|4|a1|Engage|Engage:1:High|0.207748 Engagement|14|4|4|u1|0|False|TARGET_DESTROYED AgentDecision|15|5|5|a1|Engage|Engage:1:High|2.702277 Engagement|16|5|5|u1|0|False|TARGET_DESTROYED AgentDecision|17|6|6|a1|Engage|Engage:1:High|0.654472 Engagement|18|6|6|u1|0|False|TARGET_DESTROYED AgentDecision|19|7|7|a1|Engage|Engage:1:High|1.907496 Engagement|20|7|7|u1|0|False|TARGET_DESTROYED AgentDecision|21|8|8|a1|Engage|Engage:1:High|0.416218 Engagement|22|8|8|u1|0|False|TARGET_DESTROYED AgentDecision|23|9|9|a1|Engage|Engage:1:High|0.833327 Engagement|24|9|9|u1|0|False|TARGET_DESTROYED AgentDecision|25|10|10|a1|Engage|Engage:1:High|3.482867 Engagement|26|10|10|u1|0|False|TARGET_DESTROYED 
gauntlet-t2-strike-a,7,BLUE,100,1,3,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected AgentDecision|4|1|1|a1|Engage|Engage:1:High|3.133131 Engagement|5|1|1|u1|1|True|Launched MagazineChange|6|1|1|u1|0|-1|fire EngagementOutcome|7|1|1|1|hostile-1|Hit|0.826851 AgentDecision|8|2|2|a1|Engage|Engage:1:High|0.249756 Engagement|9|2|2|u1|2|True|Launched MagazineChange|10|2|2|u1|0|-1|fire EngagementOutcome|11|2|2|2|hostile-1|Hit|0.812971 AgentDecision|12|3|3|a1|Engage|Engage:1:High|0.031829 Engagement|13|3|3|u1|3|True|Launched MagazineChange|14|3|3|u1|0|-1|fire EngagementOutcome|15|3|3|3|hostile-1|Kill|0.145241 ContactChange|16|3|3|u1|c1|hostile-1|Detected|Lost AgentDecision|17|4|4|a1|Engage|Engage:1:High|0.942103 Engagement|18|4|4|u1|0|False|TARGET_DESTROYED AgentDecision|19|5|5|a1|Engage|Engage:1:High|1.833898 Engagement|20|5|5|u1|0|False|TARGET_DESTROYED AgentDecision|21|6|6|a1|Engage|Engage:1:High|1.321819 Engagement|22|6|6|u1|0|False|TARGET_DESTROYED AgentDecision|23|7|7|a1|Engage|Engage:1:High|1.280645 Engagement|24|7|7|u1|0|False|TARGET_DESTROYED AgentDecision|25|8|8|a1|Engage|Engage:1:High|1.770816 Engagement|26|8|8|u1|0|False|TARGET_DESTROYED AgentDecision|27|9|9|a1|Engage|Engage:1:High|1.447085 Engagement|28|9|9|u1|0|False|TARGET_DESTROYED AgentDecision|29|10|10|a1|Engage|Engage:1:High|2.085533 Engagement|30|10|10|u1|0|False|TARGET_DESTROYED 
gauntlet-t2-strike-a,123,BLUE,100,1,1,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected AgentDecision|4|1|1|a1|Engage|Engage:1:High|0.24987 Engagement|5|1|1|u1|1|True|Launched MagazineChange|6|1|1|u1|0|-1|fire EngagementOutcome|7|1|1|1|hostile-1|Kill|0.800307 ContactChange|8|1|1|u1|c1|hostile-1|Detected|Lost AgentDecision|9|2|2|a1|Engage|Engage:1:High|0.279434 Engagement|10|2|2|u1|0|False|TARGET_DESTROYED AgentDecision|11|3|3|a1|Engage|Engage:1:High|1.743799 Engagement|12|3|3|u1|0|False|TARGET_DESTROYED AgentDecision|13|4|4|a1|Engage|Engage:1:High|2.170743 Engagement|14|4|4|u1|0|False|TARGET_DESTROYED AgentDecision|15|5|5|a1|Engage|Engage:1:High|0.838746 Engagement|16|5|5|u1|0|False|TARGET_DESTROYED AgentDecision|17|6|6|a1|Engage|Engage:1:High|3.017865 Engagement|18|6|6|u1|0|False|TARGET_DESTROYED AgentDecision|19|7|7|a1|Engage|Engage:1:High|1.450727 Engagement|20|7|7|u1|0|False|TARGET_DESTROYED AgentDecision|21|8|8|a1|Engage|Engage:1:High|0.844181 Engagement|22|8|8|u1|0|False|TARGET_DESTROYED AgentDecision|23|9|9|a1|Engage|Engage:1:High|0.933726 Engagement|24|9|9|u1|0|False|TARGET_DESTROYED AgentDecision|25|10|10|a1|Engage|Engage:1:High|0.162586 Engagement|26|10|10|u1|0|False|TARGET_DESTROYED 
gauntlet-t2-strike-event,42,BLUE,100,1,1,0,PolicyUpdate|1|0|0|1|roe|WeaponsFree|WeaponsFree ModeChange|2|0|0||Planning|Executing ContactChange|3|1|1|u1|c1|hostile-1|Unknown|Detected AgentDecision|4|1|1|a1|Engage|Engage:1:High|0.796304 Engagement|5|1|1|u1|1|True|Launched MagazineChange|6|1|1|u1|0|-1|fire EngagementOutcome|7|1|1|1|hostile-1|Kill|0.006502 ContactChange|8|1|1|u1|c1|hostile-1|Detected|Lost AgentDecision|9|2|2|a1|Engage|Engage:1:High|0.235134 Engagement|10|2|2|u1|0|False|TARGET_DESTROYED AgentDecision|11|3|3|a1|Engage|Engage:1:High|0.974989 Engagement|12|3|3|u1|0|False|TARGET_DESTROYED AgentDecision|13|4|4|a1|Engage|Engage:1:High|0.207748 Engagement|14|4|4|u1|0|False|TARGET_DESTROYED AgentDecision|15|5|5|a1|Engage|Engage:1:High|2.702277 Engagement|16|5|5|u1|0|False|TARGET_DESTROYED AgentDecision|17|6|6|a1|Engage|Engage:1:High|0.654472 Engagement|18|6|6|u1|0|False|TARGET_DESTROYED AgentDecision|19|7|7|a1|Engage|Engage:1:High|1.907496 Engagement|20|7|7|u1|0|False|TARGET_DESTROYED AgentDecision|21|8|8|a1|Engage|Engage:1:High|0.416218 Engagement|22|8|8|u1|0|False|TARGET_DESTROYED AgentDecision|23|9|9|a1|Engage|Engage:1:High|0.833327 Engagement|24|9|9|u1|0|False|TARGET_DESTROYED AgentDecision|25|10|10|a1|Engage|Engage:1:High|3.482867 Engagement|26|10|10|u1|0|False|TARGET_DESTROYED 
